['[11.24848502 11.3624422  11.32667075 11.02615279 10.45765861 10.48429492        10.58892212 10.63550647 10.9279421   5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '11.252255', '11.18012291', '11.17970505', '10.92388361']
['[11.252255   11.24848502 11.3624422  11.32667075 11.02615279 10.45765861        10.48429492 10.58892212 10.63550647  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '11.14225891', '11.05558155', '11.05607016', '10.90463276']
['[11.14225891 11.252255   11.24848502 11.3624422  11.32667075 11.02615279        10.45765861 10.48429492 10.58892212  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '10.78383817', '11.02384461', '11.02504001', '10.83186159']
['[10.78383817 11.14225891 11.252255   11.24848502 11.3624422  11.32667075        11.02615279 10.45765861 10.48429492  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '10.91122043', '11.06071348', '11.06095', '10.72975023']
['[10.91122043 10.78383817 11.14225891 11.252255   11.24848502 11.3624422        11.32667075 11.02615279 10.45765861  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '11.15892739', '11.23603491', '11.23646067', '10.86958556']
['[11.15892739 10.91122043 10.78383817 11.14225891 11.252255   11.24848502        11.3624422  11.32667075 11.02615279  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '11.47696997', '11.38090192', '11.38409213', '11.0284748']
['[11.47696997 11.15892739 10.91122043 10.78383817 11.14225891 11.252255        11.24848502 11.3624422  11.32667075  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '11.50122261', '11.54007069', '11.54252149', '11.19953803']
['[11.50122261 11.47696997 11.15892739 10.91122043 10.78383817 11.14225891        11.252255   11.24848502 11.3624422   5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '11.49631022', '11.58669297', '11.58609351', '11.2151498']
['[11.49631022 11.50122261 11.47696997 11.15892739 10.91122043 10.78383817        11.14225891 11.252255   11.24848502  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '11.40504761', '11.48201743', '11.48157773', '11.18948188']
['[11.40504761 11.49631022 11.50122261 11.47696997 11.15892739 10.91122043        10.78383817 11.14225891 11.252255    5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '11.42035599', '11.29080624', '11.29295509', '11.05981045']
['[11.42035599 11.40504761 11.49631022 11.50122261 11.47696997 11.15892739        10.91122043 10.78383817 11.14225891  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '11.34762757', '11.2502676', '11.25199278', '11.09541962']
['[11.34762757 11.42035599 11.40504761 11.49631022 11.50122261 11.47696997        11.15892739 10.91122043 10.78383817  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '11.25911111', '11.37339655', '11.37173968', '11.10196897']
['[11.25911111 11.34762757 11.42035599 11.40504761 11.49631022 11.50122261        11.47696997 11.15892739 10.91122043  5.          5.          5.         5.          5.          5.          5.          5.          5.         5.        ]', '11.49247442', '11.45347011', '11.45248373', '11.11335262']
